набор,баз,сайтов,свежих,дней,зоны,вышли в поиск,поисковых кликов,регистраций,ФД,кликов на регистрацию,ожидалось регистраций,вердикт
NEW20_3_12pages_withdate_styled_img,5,1030,0,2,lol:1030,227,4799,0,0,,0.7,мало данных
NEW20_4_7pages_nodate,5,1030,0,2,team:824/lol:206,102,1748,0,0,,1.1,мало данных
nabory431435_styled_img,5,1030,0,2,team:618/lol:412,145,4502,0,0,,1.1,мало данных
nabory436440_styled_img,5,1030,0,2,team:1030,116,1947,0,0,,1.1,мало данных
NEW20_7pages_nodate_оформлено,5,1030,0,2,team:1030,97,1418,0,0,,1.1,мало данных
nabory447451_styled_img,5,1030,0,2,buzz:618/lol:412,95,1700,0,0,,1.0,мало данных
nabory-490-494_styled_img,5,1030,280,2,team:824/casino:206,125,532,0,0,,0.5,мало данных
nabory-495-499_styled_img,5,1030,1030,2,team:824/lol:206,72,747,0,0,,0.3,мало данных
nabory-510-514_styled_img,5,1029,1029,2,team:1029,7,40,0,0,,0.5,мало данных
nabory-621-630,6,900,900,1,lol:900,11,14,0,0,,0.2,мало данных
nabory264268_01.09,4,824,0,2,team:824,88,418,0,0,,1.6,мало данных
NEW20_3_12pages_nodate_styled_img,4,824,0,2,casino:824,260,5882,0,0,,0.6,мало данных
NEW20_12pages_withdate_оформлено,4,824,0,2,lol:412/team:412,141,1928,0,0,,0.8,мало данных
NEW20_7pages_withdate_styled_img,3,618,0,2,casino:618,46,251,0,0,,0.4,мало данных
trikomplekta,3,618,0,2,team:618,108,1313,0,0,,0.4,мало данных
trikomplektaB,3,618,0,2,team:412/lol:206,73,454,0,0,,0.3,мало данных
troykaC,3,618,0,2,team:618,70,1244,0,0,,0.4,мало данных
nabory441443_styled_img,3,618,0,2,team:618,45,1552,0,0,,0.6,мало данных
nabory455457_styled_img,3,618,0,2,lol:618,20,607,0,0,,0.9,мало данных
nabory464466,3,618,0,2,team:618,46,2996,0,0,,0.5,мало данных
nabory481483_styled_img_dark,3,618,0,2,team:618,110,3554,0,0,,0.7,мало данных
nabory484486_styled_img,3,618,0,2,team:618,79,534,0,0,,0.7,мало данных
