# Полная выгрузка конверсий 31.08-07.09.2026 — 128 привязанных событий из 133 строк
время;тип;clickid;домен;зона;бренд;гео;движок;группа контента;страниц;даты;день запуска
2026-09-03 07:15;регистрация;43196276d01d2dc9;tghc.casino;.casino;fenix;MD;dorgen_engine;NEW50_12pages_nodate_01.09;12;без дат;01.09
2026-09-03 06:15;регистрация;5166ad4e77a45c4d;gwrl.casino;.casino;spinto;NL;dorgen_engine;NEW50_12pages_withdate_01.09;12;с датами;01.09
2026-09-03 04:15;регистрация;3ddc5f19f798a788;4235.team;.team;rox;FI;dorgen_engine;NEW50_2_7pages_withdate;7;с датами;02.09
2026-09-02 22:15;регистрация;5fa9caaa554bac46;k3f.team;.team;jetton;NL;dorgen_engine;списка не было;;;?
2026-09-02 19:15;регистрация;4ed1d89d9020e313;gwrl.casino;.casino;kent;RU;dorgen_engine;NEW50_12pages_withdate_01.09;12;с датами;01.09
2026-09-02 17:23;депозит;5853c3358a83b44d;1795.team;.team;spinto;PL;dorgen_engine;nabor-244…253 (dorgen.net, без потолка вложенности);;;31.08
2026-09-02 17:15;регистрация;5853c3358a83b44d;1795.team;.team;spinto;PL;dorgen_engine;nabor-244…253 (dorgen.net, без потолка вложенности);;;31.08
2026-09-02 05:23;регистрация;d184cb4d4d87676d;h9mt.team;.team;eva;DE;eva_engine;Generator_11page_test (dorgen com, потолок /ru = 20, 11 страниц);11;;31.08
2026-09-01 15:15;депозит;15b146f38277763d;bztk.team;.team;pinup;EE;dorgen_engine;nabor-244…253 (dorgen.net, без потолка вложенности);;;31.08
2026-09-01 13:15;регистрация;7dd235347437243f;2951.team;.team;martin;NL;dorgen_engine;Generator_11page_test (dorgen com, потолок /ru = 20, 11 страниц);11;;31.08
2026-09-01 13:15;регистрация;15b146f38277763d;bztk.team;.team;pinup;EE;dorgen_engine;nabor-244…253 (dorgen.net, без потолка вложенности);;;31.08
2026-09-01 09:15;регистрация;9c6682fe68a21289;2951.team;.team;martin;RO;dorgen_engine;Generator_11page_test (dorgen com, потолок /ru = 20, 11 страниц);11;;31.08
2026-09-01 09:15;регистрация;1f69cab9dd82ebc1;3628.team;.team;volta;KZ;dorgen_engine;Generator_11page_test (dorgen com, потолок /ru = 20, 11 страниц);11;;31.08
2026-09-01 03:15;регистрация;dbdaddabecfe4868;2885.team;.team;moneyx;NL;dorgen_engine;списка не было;;;?
2026-09-01 02:15;регистрация;500997f7d82c68ff;3628.team;.team;everum;RU;dorgen_engine;Generator_11page_test (dorgen com, потолок /ru = 20, 11 страниц);11;;31.08
2026-09-01 02:15;регистрация;18581dbf9b636bc3;gwrn.team;.team;dragonmoney;NL;dorgen_engine;списка не было;;;?
2026-09-01 02:15;регистрация;42f400b2912e1474;2951.team;.team;pinco;RU;dorgen_engine;Generator_11page_test (dorgen com, потолок /ru = 20, 11 страниц);11;;31.08
2026-09-01 01:15;регистрация;590f3e7770aa26f2;gmhb.team;.team;olympus-play;DE;dorgen_engine;Generator_11page_test (dorgen com, потолок /ru = 20, 11 страниц);11;;31.08
2026-09-01 01:15;регистрация;b8d77c195d69a8dd;1749.team;.team;trix;FI;dorgen_engine;Generator_11page_test (dorgen com, потолок /ru = 20, 11 страниц);11;;31.08
2026-09-01 00:15;регистрация;650ee33c48412806;9yp.team;.team;leon;DE;dorgen_engine;списка не было;;;?
2026-08-31 22:15;регистрация;e136857c4601a925;reyn.team;.team;metelitsa;PL;dorgen_engine;NEW33_12pages_nodate+img_25.08;12;без дат;25.08
2026-08-31 22:15;регистрация;0fe7aa3016b997c6;3592.team;.team;eva;AL;dorgen_engine;списка не было;;;?
2026-08-31 22:15;регистрация;075539e7502ae432;2885.team;.team;ezcash;DE;dorgen_engine;списка не было;;;?
2026-08-31 21:15;регистрация;04008b8dcf81981a;dprz.team;.team;kraken;NL;dorgen_engine;7page (партия 2);7;;27.08
2026-08-31 19:15;регистрация;f44f443c9f6d5355;4629.team;.team;pinco;UA;dorgen_engine;Generator_C_novyy_img (nabor-165…169);;;26.08
