баз 1922, сайтов 389498, вышли в поиск 51370 (13.2%)
пулов «пак + день» по пять и больше баз: 122, в них баз 1782

content-2026-09-12-7str-oform · 2026-09-12 · баз 78 · сайтов 16067 · выход3 6.5% · рег 6
  домен              зона      сайтов  выход3   кликов 2-я волна   рег
  3019.team          team         198   28.3%     2391        48     0
  5726.team          team         184   27.7%     3291        34     1
  3247.team          team         184   26.1%     1946        34     0
  2691.team          team         185   24.3%     2239        35     0
  jkzq.team          team         198   24.2%     1125        48     0
  2470.team          team         198   23.2%      671        48     0
  dlnb.team          team         198   22.7%      917        48     0
  3608.team          team         184   22.3%     2327        34     0
  1908po.buzz        buzz         184   22.3%      437        34     0
  k5cr.team          team         198   18.2%     1091        48     0
  r7mc.team          team         184   17.9%      486        34     0
  c5tw.team          team         198   15.2%      465        48     1
  b8t.team           team         184   14.7%     1608        34     0
  h3ns.team          team         198   14.6%     1054        48     0
  l9tb.team          team         185   13.5%     1180        35     0
  g7ld.team          team         198   13.1%      104        48     0
  5148.team          team         198   12.6%      388        48     0
  d9mq.team          team         198   12.6%      135        48     0
  1908by.buzz        buzz         185   11.9%      216        35     0
  5867.team          team         198   10.6%      370        48     0
  6204.team          team         184   10.3%      162        34     0
  n4kd.team          team         184    9.8%      119        34     0
  j8vp.team          team         198    9.6%       43        48     0
  1908jd.buzz        buzz         184    8.7%       64        34     0
  m2wf.team          team         184    8.7%     1795        34     0
  1908xc.buzz        buzz         184    8.2%      149        34     0
  ip4nd.cyou         cyou         198    8.1%      379        48     0
  3584.team          team         198    7.6%      405        48     0
  tvmk7.bond         bond         184    6.0%       38        34     0
  2008qw.buzz        buzz         198    5.1%       47        48     0
  b2kn.team          team         184    4.9%      268        34     0
  dwb7.top           top          184    4.3%       45        34     0
  h7zb.quest         quest        184    4.3%       38        34     0
  im8tq.icu          icu          184    3.3%       55        34     0

content-2026-09-15-7str-oform-1 · 2026-09-17 · баз 42 · сайтов 8651 · выход3 8.0% · рег 5
  домен              зона      сайтов  выход3   кликов 2-я волна   рег
  ynr.team           team         206   23.3%      276        56     2
  jflj.team          team         206   22.3%      229        56     0
  5779.team          team         206   18.9%      320        56     3
  0346.lol           lol          206   14.6%      133        56     0
  8763.lol           lol          206   12.6%      140        56     0
  casinosw.team      team         206   12.1%      327        56     0
  1018.lol           lol          206   12.1%      519        56     0
  ujvcasino.team     team         206   11.7%      195        56     0
  casino4761.team    team         205   11.7%       91        55     0
  zkmt.lol           lol          206   11.7%       88        56     0
  s8e.lol            lol          206   11.2%       74        56     0
  6691.lol           lol          206   11.2%      194        56     0
  tzeq.lol           lol          206   10.2%       42        56     0
  casinomol.lol      lol          206   10.2%      111        56     0
  yaid.team          team         206    9.2%      382        56     0
  kfrcasino.lol      lol          206    9.2%       75        56     0
  5295.lol           lol          206    8.7%       17        56     0
  e5m9.lol           lol          206    7.8%       11        56     0
  fwl.lol            lol          206    7.8%       32        56     0
  0649.lol           lol          206    7.3%       51        56     0
  casino8768.lol     lol          206    7.3%       39        56     0
  1697casino.lol     lol          206    7.3%       54        56     0
  6465.team          team         206    6.8%      144        56     0
  cnlu.lol           lol          206    6.8%       55        56     0
  yqzcasino.team     team         206    6.3%       55        56     0
  plol.lol           lol          206    6.3%      190        56     0
  casino97.lol       lol          206    6.3%       30        56     0
  ktto.lol           lol          206    5.3%       18        56     0
  casinofdv.lol      lol          206    5.3%       30        56     0
  6749.lol           lol          206    4.4%       26        56     0
  hhal.lol           lol          206    3.9%       11        56     0
  casino04.team      team         206    3.9%       24        56     0
  3093casino.lol     lol          206    3.4%       27        56     0
  6297.lol           lol          206    3.4%       18        56     0
  7383.lol           lol          206    2.9%        6        56     0
  9758.team          team         206    2.4%       14        56     0
  6839.lol           lol          206    2.4%       32        56     0
  bkny.team          team         206    2.4%        0        56     0
  casinorvx.team     team         206    1.9%        1        56     0
  3744casino.team    team         206    1.0%       21        56     0
  1424.lol           lol          206    1.0%        2        56     0
  gvcasino.lol       lol          206    1.0%        2        56     0

