datetime,event,campaign,name,clickid,country,source,referer,user_ip,postback_ip,linked
"2026-09-11 20:15:14",reg,dorgen_engine,Dorgen_engine,91b553de203e44a3,DE,fraga.wbji.casino,https://yandex.ru/,45.130.202.22,209.38.42.185,yes
"2026-09-11 20:15:12",reg,dorgen_engine,Dorgen_engine,0d9eb8fb3faf7e0f,BG,1xbet.1025.team,https://yandex.ru/,131.123.41.18,209.38.42.185,yes
"2026-09-11 19:15:12",reg,dorgen_engine,Dorgen_engine,41fa274cd1034ccb,NL,atom.casino534.lol,https://yandex.ru/,5.129.218.55,209.38.42.185,yes
"2026-09-11 17:15:10",reg,dorgen_engine,Dorgen_engine,469b4939333c2ada,NL,frank.2129.lol,https://ya.ru/,45.43.153.62,209.38.42.185,yes
"2026-09-11 17:15:10",reg,dorgen_engine,Dorgen_engine,b5271ccb49718322,UA,leon.xpba.lol,https://yandex.ru/,150.228.5.200,209.38.42.185,yes
"2026-09-11 16:15:11",reg,dorgen_engine,Dorgen_engine,b99b4cd9968191b4,NL,selector.j2mm.team,https://www.startpage.com/,175.110.122.58,209.38.42.185,yes
"2026-09-11 16:15:11",reg,dorgen_engine,Dorgen_engine,6b7cac46fe0b0a31,FI,dragonmoney.uyyj.lol,http://yandex.ru/,138.124.9.150,209.38.42.185,yes
"2026-09-11 15:15:12",reg,dorgen_engine,Dorgen_engine,ba0acc915913f105,UA,moneyx.1009cas.casino,https://yandex.ru/,145.224.101.124,209.38.42.185,yes
"2026-09-11 14:24:36",dep,dorgen_engine,Dorgen_engine,73aa6251ac4c4421,UA,r7.1109r.casino,https://yandex.ru/,145.224.123.32,209.38.42.185,yes
"2026-09-11 14:15:10",reg,dorgen_engine,Dorgen_engine,1fa6cca4bd3849aa,UA,bounty.qlmf.lol,https://yandex.ru/,145.224.101.124,209.38.42.185,yes
"2026-09-11 13:15:11",reg,dorgen_engine,Dorgen_engine,73aa6251ac4c4421,UA,r7.1109r.casino,https://yandex.ru/,145.224.123.32,209.38.42.185,yes
"2026-09-11 12:15:10",reg,dorgen_engine,Dorgen_engine,0e9bd40fe40b7eb7,RU,pinup.1857.team,https://yandex.ru/,2a03:d000:8480:7f46:1:0:9ec3:6c4d,209.38.42.185,yes
"2026-09-11 10:15:09",reg,dorgen_engine,Dorgen_engine,8c8b8802909dd584,LV,vodka.1109casino.casino,https://yandex.ru/,185.145.245.222,209.38.42.185,yes
"2026-09-11 07:15:08",reg,dorgen_engine,Dorgen_engine,36aa950a8b7e7ada,UZ,like.1009dd.casino,https://yandex.uz/,2a05:45c2:7281:2300:915c:fe1:49d4:fcc7,209.38.42.185,yes
"2026-09-11 05:15:08",reg,dorgen_engine,Dorgen_engine,51a4bca2bbd34eac,DE,spincity.2334.team,https://yandex.ru/,2.26.144.8,209.38.42.185,yes
